                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4789,                 1.4152,                 1.3445,                0.77507,                0.22397,                0.22299,                0.15434,                 1.8889,                 2.0232,                 1.4124,              0.0011139,              0.0011139,              0.0011139
                     35,                 1.4437,                 1.3729,                 1.3672,                0.88579,                0.19428,                0.24532,                0.16518,                 1.8038,                 2.0256,                  1.344,              0.0011098,              0.0011098,              0.0011098
                     36,                 1.5021,                 1.4829,                  1.331,                0.23544,                0.26835,                0.25102,                0.16459,                 1.9164,                  1.879,                 1.4156,              0.0011056,              0.0011056,              0.0011056
                     37,                 1.4959,                 1.4319,                 1.3657,                0.78641,                 0.2387,                0.25912,                0.16941,                 1.9346,                 1.8384,                  1.438,              0.0011015,              0.0011015,              0.0011015
                     38,                 1.4956,                 1.4651,                 1.3181,                0.76631,                0.19926,                0.25292,                0.15569,                 1.9097,                 1.9677,                  1.432,              0.0010974,              0.0010974,              0.0010974
                     39,                 1.4493,                 1.4047,                 1.2989,                0.95081,                0.21592,                0.25297,                0.17151,                 1.9403,                 1.8309,                 1.5147,              0.0010933,              0.0010933,              0.0010933
                     40,                 1.4364,                 1.3666,                 1.2795,                0.26579,                0.24994,                0.25173,                0.16174,                 1.9675,                 1.7638,                 1.4826,              0.0010891,              0.0010891,              0.0010891
                     41,                 1.3666,                 1.2917,                 1.2987,                0.27185,                0.26684,                0.25237,                0.16254,                 1.9893,                 1.7953,                 1.4967,               0.001085,               0.001085,               0.001085
                     42,                 1.4289,                 1.3687,                 1.2823,                0.97832,                0.19092,                0.23956,                0.16741,                 1.8961,                 1.9412,                 1.3859,              0.0010809,              0.0010809,              0.0010809
                     43,                 1.4205,                 1.3697,                  1.276,                0.70518,                0.25582,                0.25038,                0.18079,                  1.874,                 1.7324,                 1.3521,              0.0010768,              0.0010768,              0.0010768
                     44,                 1.3848,                 1.2853,                 1.2637,                0.98554,                0.20383,                0.25173,                0.17336,                 1.7519,                 1.8541,                 1.2912,              0.0010726,              0.0010726,              0.0010726
                     45,                  1.314,                 1.2744,                 1.2391,                0.25191,                0.24715,                0.24335,                0.17271,                 1.8365,                 1.9365,                 1.3729,              0.0010685,              0.0010685,              0.0010685
                     46,                 1.3331,                 1.3235,                 1.2246,                0.22736,                0.27568,                0.25187,                0.16387,                 1.8888,                  1.883,                  1.499,              0.0010644,              0.0010644,              0.0010644
                     47,                 1.3651,                 1.2887,                 1.2506,                0.23309,                0.25188,                0.24975,                0.17072,                 1.8426,                 1.7666,                 1.4291,              0.0010603,              0.0010603,              0.0010603
                     48,                 1.3191,                 1.2427,                 1.2234,                0.50588,                0.23476,                0.25702,                 0.1785,                 1.8398,                 1.7286,                 1.3328,              0.0010561,              0.0010561,              0.0010561
                     49,                  1.334,                  1.227,                 1.1864,                0.56919,                0.25679,                0.24866,                0.16877,                  1.842,                 1.7976,                 1.3976,               0.001052,               0.001052,               0.001052
                     50,                 1.3243,                 1.2417,                 1.2393,                0.27675,                 0.2928,                0.25334,                0.16428,                 1.9547,                 1.8303,                 1.4548,              0.0010479,              0.0010479,              0.0010479
                     51,                 1.4068,                 1.2607,                 1.2223,                0.79639,                0.22106,                  0.254,                0.16968,                 1.8775,                 1.8734,                 1.3767,              0.0010438,              0.0010438,              0.0010438
                     52,                 1.3684,                 1.2378,                  1.202,                0.26924,                0.28596,                0.25608,                0.17535,                 1.9343,                 1.8401,                 1.4877,              0.0010396,              0.0010396,              0.0010396
                     53,                 1.3193,                 1.2029,                 1.2117,                 0.2595,                0.27688,                0.26319,                0.17431,                 1.9487,                 1.6982,                 1.4676,              0.0010355,              0.0010355,              0.0010355
                     54,                 1.3954,                  1.304,                 1.2379,                0.25274,                0.28619,                0.25996,                0.16852,                 1.9677,                 1.7397,                 1.5025,              0.0010314,              0.0010314,              0.0010314
                     55,                 1.2414,                 1.1888,                 1.1744,                0.24238,                0.26341,                0.25216,                0.16627,                 1.9744,                 1.7589,                 1.3956,              0.0010273,              0.0010273,              0.0010273
                     56,                 1.3034,                 1.1953,                 1.1822,                0.24811,                0.25656,                0.24637,                0.16666,                 1.9753,                 1.7686,                  1.473,              0.0010231,              0.0010231,              0.0010231
                     57,                 1.3098,                 1.1723,                 1.1912,                0.55474,                0.23476,                0.25468,                0.17804,                 1.8081,                 1.7663,                 1.3377,               0.001019,               0.001019,               0.001019
                     58,                 1.3083,                 1.2062,                 1.2124,                0.49574,                0.23647,                0.24807,                 0.1652,                 1.9149,                 1.7396,                 1.4916,              0.0010149,              0.0010149,              0.0010149
                     59,                 1.2777,                 1.1601,                 1.1835,                0.22885,                0.25411,                0.25533,                0.17145,                 1.8934,                 1.7447,                 1.3946,              0.0010107,              0.0010107,              0.0010107
                     60,                  1.295,                 1.1403,                  1.203,                0.57962,                 0.2116,                0.24642,                0.16533,                 1.9526,                 1.8845,                 1.4563,              0.0010066,              0.0010066,              0.0010066
                     61,                 1.2732,                 1.1146,                 1.1854,                0.84208,                0.21421,                0.24552,                 0.1823,                 1.9464,                 1.7448,                 1.3659,              0.0010025,              0.0010025,              0.0010025
                     62,                 1.2548,                 1.1154,                 1.1499,                0.25035,                0.28105,                0.25402,                0.17777,                 1.9041,                 1.7519,                 1.4552,             0.00099837,             0.00099837,             0.00099837
                     63,                 1.2523,                 1.1087,                 1.1826,                0.20592,                0.27219,                0.25755,                0.16858,                 1.9417,                 1.7855,                 1.5045,             0.00099425,             0.00099425,             0.00099425
                     64,                 1.2617,                 1.1307,                 1.1506,                0.19639,                 0.2761,                0.25141,                0.17384,                 1.8688,                 1.7644,                 1.4236,             0.00099013,             0.00099013,             0.00099013
                     65,                 1.2434,                 1.0522,                 1.1529,                0.30894,                0.26193,                0.25461,                 0.1642,                 1.9724,                 1.7465,                 1.6336,               0.000986,               0.000986,               0.000986
                     66,                 1.2188,                  1.022,                 1.1357,                0.36248,                0.26413,                0.25784,                0.16803,                 1.9088,                  1.805,                 1.5123,             0.00098187,             0.00098187,             0.00098187
                     67,                 1.2339,                 1.0318,                 1.1519,                0.36456,                0.24138,                0.25557,                 0.1732,                 1.9366,                 1.8197,                 1.5181,             0.00097775,             0.00097775,             0.00097775
                     68,                 1.3083,                 1.1453,                 1.1821,                0.88471,                0.21475,                0.24466,                0.16574,                 1.9236,                 1.8557,                 1.4918,             0.00097362,             0.00097362,             0.00097362
                     69,                 1.2495,                 1.0881,                 1.1368,                0.77605,                 0.2262,                0.24375,                0.16613,                 1.9572,                 1.8443,                 1.4971,              0.0009695,              0.0009695,              0.0009695
                     70,                 1.2581,                 1.0708,                 1.1355,                0.27692,                0.25877,                0.25412,                0.17548,                 1.8651,                  1.755,                 1.3606,             0.00096537,             0.00096537,             0.00096537
                     71,                 1.2371,                 1.0548,                 1.1269,                0.34406,                0.26193,                 0.2661,                0.18412,                 1.8765,                 1.7696,                 1.4031,             0.00096125,             0.00096125,             0.00096125
                     72,                 1.1875,                 1.0086,                 1.1555,                0.33232,                0.26341,                0.27214,                 0.1846,                 1.8377,                 1.7687,                 1.4192,             0.00095712,             0.00095712,             0.00095712
                     73,                  1.193,                 1.0278,                 1.1378,                0.27604,                0.28082,                 0.2643,                 0.1726,                 1.9619,                 1.9047,                 1.5873,               0.000953,               0.000953,               0.000953
                     74,                 1.2571,                 1.0329,                 1.1291,                0.83523,                0.23014,                0.26112,                0.17413,                 1.9022,                 1.8912,                 1.5331,             0.00094887,             0.00094887,             0.00094887
                     75,                 1.1963,                 1.0257,                 1.1364,                0.35312,                 0.2742,                0.26719,                0.18211,                  1.866,                 1.8253,                 1.4091,             0.00094475,             0.00094475,             0.00094475
                     76,                 1.2036,                0.98965,                 1.1338,                0.30171,                0.27535,                0.26618,                0.18496,                 1.9242,                 1.7825,                 1.4514,             0.00094062,             0.00094062,             0.00094062
                     77,                 1.2113,                0.98864,                 1.1372,                0.27009,                0.27392,                0.25994,                0.17045,                 1.9674,                 1.7245,                 1.4639,              0.0009365,              0.0009365,              0.0009365
                     78,                 1.2101,                0.99226,                 1.1136,                0.28298,                0.27026,                0.26309,                  0.171,                 1.9195,                 1.7052,                 1.4873,             0.00093238,             0.00093238,             0.00093238
                     79,                  1.206,                 1.0085,                 1.1289,                0.32805,                0.27003,                0.27467,                 0.1849,                 1.8478,                 1.7658,                 1.4436,             0.00092825,             0.00092825,             0.00092825
                     80,                 1.1566,                0.97908,                  1.126,                0.25484,                0.27528,                0.26167,                0.18183,                 1.8476,                 1.8858,                 1.5105,             0.00092413,             0.00092413,             0.00092413
                     81,                 1.1876,                0.97669,                 1.1234,                0.55765,                0.24014,                0.26048,                0.18374,                 1.9463,                 1.9394,                 1.5315,                0.00092,                0.00092,                0.00092
                     82,                 1.1969,                 1.0174,                 1.0867,                0.26952,                0.25405,                0.25019,                0.17784,                 1.8778,                 1.8631,                 1.4693,             0.00091588,             0.00091588,             0.00091588
                     83,                 1.2183,                 0.9932,                 1.0743,                0.26657,                0.28425,                0.25746,                0.17957,                 1.9329,                 1.9015,                  1.445,             0.00091175,             0.00091175,             0.00091175
                     84,                 1.1552,                0.93362,                 1.0998,                0.27256,                 0.2524,                0.25405,                0.17975,                 1.8789,                 1.8778,                 1.4987,             0.00090763,             0.00090763,             0.00090763
                     85,                  1.183,                0.98645,                 1.1304,                0.25088,                0.27096,                0.27059,                0.18959,                 1.8711,                  1.812,                 1.4538,              0.0009035,              0.0009035,              0.0009035
                     86,                 1.2028,                0.98298,                 1.1054,                0.26249,                0.27986,                0.26795,                0.17692,                 1.9076,                 1.7975,                 1.4865,             0.00089938,             0.00089938,             0.00089938
                     87,                 1.1689,                0.92312,                 1.0945,                0.24911,                0.26535,                0.26312,                0.18275,                 1.8888,                  1.846,                 1.4469,             0.00089525,             0.00089525,             0.00089525
                     88,                 1.1384,                0.90737,                 1.0947,                0.25721,                0.27688,                0.26486,                0.18396,                 1.8399,                 1.8027,                 1.5118,             0.00089112,             0.00089112,             0.00089112
                     89,                 1.1903,                0.90944,                 1.0445,                0.44547,                0.25224,                0.27489,                0.18967,                  1.928,                 1.8156,                 1.4145,               0.000887,               0.000887,               0.000887
                     90,                 1.1444,                0.90856,                 1.1015,                0.25242,                0.30295,                0.26722,                0.19103,                 1.9233,                 1.7922,                 1.4663,             0.00088288,             0.00088288,             0.00088288
                     91,                 1.1891,                0.96065,                 1.0787,                0.24985,                0.23305,                0.24722,                0.17362,                 1.9461,                 1.7658,                 1.5068,             0.00087875,             0.00087875,             0.00087875
                     92,                 1.1859,                0.93379,                 1.0404,                0.30846,                0.21406,                0.25385,                0.17805,                 1.9219,                 1.7622,                 1.4322,             0.00087462,             0.00087462,             0.00087462
                     93,                 1.1558,                0.91441,                 1.0693,                 0.5673,                0.22649,                0.25157,                0.17373,                 1.8872,                 1.8465,                 1.4739,              0.0008705,              0.0008705,              0.0008705
                     94,                 1.1533,                0.87861,                 1.0596,                0.30142,                0.23647,                0.25702,                0.17895,                 1.8754,                  1.737,                 1.4727,             0.00086637,             0.00086637,             0.00086637
                     95,                  1.178,                0.92844,                 1.0813,                0.21323,                0.26707,                0.25957,                0.17623,                  1.851,                 1.8122,                   1.46,             0.00086225,             0.00086225,             0.00086225
                     96,                 1.0715,                0.82379,                  1.078,                0.25064,                0.26878,                0.25755,                0.18088,                 1.8357,                 1.7412,                 1.4082,             0.00085813,             0.00085813,             0.00085813
                     97,                 1.1352,                0.87159,                  1.069,                0.31777,                0.25337,                0.25771,                 0.1838,                 1.8269,                 1.7248,                 1.4502,               0.000854,               0.000854,               0.000854
                     98,                 1.1838,                0.93721,                 1.0684,                0.39963,                0.23358,                0.25481,                0.18401,                 1.9236,                 1.7795,                 1.4917,             0.00084988,             0.00084988,             0.00084988
                     99,                 1.1005,                0.86378,                 1.0474,                0.32536,                0.24994,                0.26142,                0.18697,                 1.9339,                 1.8574,                 1.5213,             0.00084575,             0.00084575,             0.00084575
                    100,                 1.1616,                0.90731,                 1.0518,                0.30966,                0.28184,                0.26001,                 0.1821,                 1.8895,                 1.9513,                 1.5097,             0.00084162,             0.00084162,             0.00084162
                    101,                 1.0495,                0.81293,                 1.0587,                0.28151,                0.27179,                0.26546,                 0.1832,                 1.8752,                 1.8754,                 1.4829,              0.0008375,              0.0008375,              0.0008375
                    102,                 1.0768,                0.83873,                 1.0407,                0.22076,                0.28952,                0.25815,                0.18095,                  1.863,                 1.9344,                 1.4252,             0.00083337,             0.00083337,             0.00083337
                    103,                 1.1484,                0.89566,                 1.0516,                0.26109,                0.27767,                0.25709,                0.18433,                 1.8621,                 1.9975,                 1.4105,             0.00082925,             0.00082925,             0.00082925
                    104,                 1.1674,                0.90901,                 1.0512,                0.30524,                0.29772,                0.27187,                0.18867,                 1.8741,                 1.9159,                 1.4269,             0.00082513,             0.00082513,             0.00082513
                    105,                 1.1058,                0.83847,                 1.0438,                0.22203,                0.26513,                0.26976,                0.19045,                 1.8928,                 1.8175,                 1.4578,               0.000821,               0.000821,               0.000821
                    106,                 1.1057,                0.83331,                  1.029,                 0.2631,                  0.271,                0.25885,                0.18427,                 1.9371,                 1.8671,                   1.55,             0.00081688,             0.00081688,             0.00081688
                    107,                 1.0891,                0.85413,                 1.0204,                0.25655,                0.28276,                0.25651,                0.18472,                 1.9354,                 1.8503,                 1.5259,             0.00081275,             0.00081275,             0.00081275
                    108,                 1.1149,                0.87991,                 1.0468,                0.27212,                0.28614,                0.25931,                0.18341,                 1.9075,                  1.807,                  1.604,             0.00080863,             0.00080863,             0.00080863
                    109,                 1.0709,                0.85376,                 1.0415,                0.50584,                0.24726,                0.25453,                0.17669,                 1.9523,                 1.8203,                   1.63,              0.0008045,              0.0008045,              0.0008045
                    110,                 1.0561,                0.79343,                 1.0386,                0.28085,                0.30281,                0.26252,                0.17486,                 1.9487,                 1.8636,                  1.504,             0.00080038,             0.00080038,             0.00080038
                    111,                 1.1024,                0.81691,                 1.0123,                0.24777,                0.26758,                0.26018,                 0.1821,                 1.8982,                 1.9145,                 1.4588,             0.00079625,             0.00079625,             0.00079625
                    112,                 1.1488,                0.84861,                 1.0467,                 0.3475,                0.26467,                0.27305,                0.18825,                 1.8499,                 1.7986,                 1.4404,             0.00079213,             0.00079213,             0.00079213
                    113,                 1.0437,                0.79995,                 1.0216,                0.25615,                0.29503,                0.27688,                0.18159,                 1.9084,                 1.9043,                 1.6246,               0.000788,               0.000788,               0.000788
                    114,                 1.1133,                0.79345,                 1.0097,                0.23171,                0.27934,                  0.263,                0.17945,                 1.8622,                 1.8623,                 1.4761,             0.00078387,             0.00078387,             0.00078387
                    115,                 1.0565,                0.78999,                 1.0144,                0.27517,                0.31568,                0.27004,                0.18461,                 1.8786,                 1.7317,                 1.4916,             0.00077975,             0.00077975,             0.00077975
                    116,                 1.0805,                0.79387,                 1.0436,                0.27651,                0.27443,                0.26315,                0.18764,                 1.8712,                 1.7812,                  1.408,             0.00077563,             0.00077563,             0.00077563
                    117,                 1.1082,                0.81232,                   1.01,                0.24304,                0.28276,                0.26861,                0.19448,                 1.8815,                 1.7947,                 1.4573,              0.0007715,              0.0007715,              0.0007715
                    118,                 1.1215,                0.80674,                 1.0409,                0.27483,                0.27591,                 0.2556,                0.18387,                 1.8905,                 1.7649,                 1.4974,             0.00076738,             0.00076738,             0.00076738
                    119,                 1.0785,                0.78982,                 1.0264,                0.29224,                0.28785,                 0.2627,                0.19223,                 1.8331,                 1.7989,                 1.4444,             0.00076325,             0.00076325,             0.00076325
                    120,                 1.0151,                0.75216,                 1.0144,                0.28472,                0.27769,                0.26006,                0.18402,                  1.841,                 1.8137,                 1.4599,             0.00075912,             0.00075912,             0.00075912
                    121,                 1.0512,                0.73889,                 1.0063,                0.24719,                0.29258,                0.26995,                0.18213,                 1.8983,                 1.8999,                 1.4837,               0.000755,               0.000755,               0.000755
                    122,                 1.0466,                0.76516,                 1.0028,                0.26301,                0.27154,                0.25781,                0.18354,                 1.8833,                 1.8727,                 1.3967,             0.00075088,             0.00075088,             0.00075088
                    123,                 1.0061,                0.72628,                 1.0129,                0.27716,                0.26587,                0.26906,                0.18695,                 1.8057,                 1.8497,                  1.363,             0.00074675,             0.00074675,             0.00074675
                    124,                 1.0588,                0.76583,                 1.0016,                0.26452,                0.30285,                0.27365,                0.19237,                 1.8387,                 1.7948,                 1.4437,             0.00074263,             0.00074263,             0.00074263
                    125,                 1.0075,                0.71788,                 1.0168,                0.27073,                0.28916,                0.26858,                0.19343,                 1.8136,                 1.8805,                 1.3905,              0.0007385,              0.0007385,              0.0007385
