                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    151,                0.96704,                0.65369,                0.95705,                0.28825,                0.29065,                0.26653,                0.19396,                  1.865,                 1.7907,                 1.4756,             0.00063125,             0.00063125,             0.00063125
                    152,                  0.961,                0.65434,                0.97497,                0.27836,                0.27369,                0.26022,                0.18829,                 1.8335,                 1.9225,                 1.4183,             0.00062713,             0.00062713,             0.00062713
                    153,                0.97368,                0.66139,                0.97894,                0.37251,                 0.2571,                0.26436,                0.18922,                 1.8494,                 1.9484,                 1.4513,               0.000623,               0.000623,               0.000623
                    154,                0.98265,                0.66953,                0.98674,                0.44309,                0.25805,                0.26811,                0.18966,                 1.8653,                 1.9769,                 1.4542,             0.00061887,             0.00061887,             0.00061887
                    155,                0.94583,                0.66065,                0.97835,                 0.3233,                0.25976,                0.26641,                0.19017,                  1.875,                 1.9437,                 1.5121,             0.00061475,             0.00061475,             0.00061475
                    156,                0.96435,                0.66158,                0.97807,                0.32567,                0.27911,                0.28642,                0.20005,                 1.8863,                 1.8748,                 1.4744,             0.00061062,             0.00061062,             0.00061062
                    157,                 0.9677,                0.67199,                 0.9828,                0.42606,                0.28573,                0.29101,                0.19192,                 1.9266,                 1.9148,                 1.5021,              0.0006065,              0.0006065,              0.0006065
                    158,                0.93022,                0.63188,                0.96822,                0.36593,                0.29943,                 0.2961,                 0.2026,                 1.9014,                 1.7844,                 1.5148,             0.00060238,             0.00060238,             0.00060238
                    159,                0.92876,                0.64633,                0.97783,                0.38154,                0.25999,                0.27526,                0.19486,                 1.9095,                 1.7881,                 1.4665,             0.00059825,             0.00059825,             0.00059825
                    160,                0.94423,                 0.6436,                0.96507,                0.34593,                0.27175,                0.27678,                0.19144,                 1.9068,                 1.7797,                 1.4615,             0.00059413,             0.00059413,             0.00059413
                    161,                0.98546,                0.64352,                0.93353,                 0.4697,                0.27494,                0.28493,                0.19802,                 1.9483,                  1.825,                 1.5239,                0.00059,                0.00059,                0.00059
                    162,                 0.9828,                0.63756,                0.96363,                0.37471,                0.27666,                0.28133,                0.19734,                 1.9872,                 1.8582,                 1.4751,             0.00058588,             0.00058588,             0.00058588
                    163,                0.92493,                0.61283,                0.98964,                0.25867,                0.28031,                0.25706,                0.18152,                 1.9635,                 1.9081,                 1.5336,             0.00058175,             0.00058175,             0.00058175
                    164,                0.91756,                0.61897,                0.96152,                0.31725,                0.27003,                0.26474,                 0.1879,                 2.0153,                 1.7996,                 1.5393,             0.00057763,             0.00057763,             0.00057763
                    165,                0.89406,                0.60154,                0.93985,                0.27546,                0.27346,                0.27557,                0.19896,                 1.9364,                 1.7547,                 1.5029,              0.0005735,              0.0005735,              0.0005735
                    166,                0.89791,                0.61033,                0.96226,                0.31972,                0.27963,                0.27625,                0.18938,                 1.9226,                 1.8746,                 1.4346,             0.00056938,             0.00056938,             0.00056938
                    167,                0.89037,                0.59961,                0.92721,                0.38876,                0.26244,                  0.273,                0.19056,                 1.9294,                 1.9243,                 1.4788,             0.00056525,             0.00056525,             0.00056525
                    168,                0.90373,                0.61215,                0.96352,                0.24187,                0.30869,                0.27172,                0.19106,                 1.9083,                 1.8344,                 1.4578,             0.00056112,             0.00056112,             0.00056112
                    169,                0.91789,                0.60564,                  0.926,                0.31106,                 0.2742,                0.26967,                 0.1899,                  1.936,                 1.7646,                 1.4987,               0.000557,               0.000557,               0.000557
                    170,                0.88554,                0.59319,                0.93189,                0.24173,                0.28785,                0.26877,                0.18985,                 1.9674,                 1.8972,                 1.5339,             0.00055287,             0.00055287,             0.00055287
                    171,                0.87846,                0.59945,                0.95467,                0.28368,                0.26906,                0.26389,                0.18721,                 1.9437,                 1.8799,                 1.4566,             0.00054875,             0.00054875,             0.00054875
                    172,                 0.9179,                0.58696,                0.94329,                 0.2615,                0.24897,                0.25598,                0.18299,                 1.9354,                 1.9438,                 1.4737,             0.00054463,             0.00054463,             0.00054463
                    173,                 0.9205,                0.61155,                0.96392,                0.86813,                0.22106,                0.25562,                0.18166,                 1.9588,                 2.0035,                 1.5217,              0.0005405,              0.0005405,              0.0005405
                    174,                0.91043,                0.60806,                0.95019,                0.83985,                0.21764,                0.26118,                0.18595,                 1.9464,                 1.9152,                 1.4785,             0.00053638,             0.00053638,             0.00053638
                    175,                0.90675,                 0.6142,                0.94295,                0.54345,                0.23134,                0.25505,                0.18903,                  1.928,                 1.9709,                 1.4604,             0.00053225,             0.00053225,             0.00053225
                    176,                0.87426,                0.59937,                0.94621,                0.28671,                0.25273,                0.26078,                0.18838,                 1.8801,                 1.9987,                 1.3971,             0.00052812,             0.00052812,             0.00052812
                    177,                0.93717,                0.62278,                0.94413,                 0.2833,                 0.2854,                0.26406,                0.18785,                 1.8803,                  1.931,                 1.5014,               0.000524,               0.000524,               0.000524
                    178,                0.92436,                0.61978,                0.94365,                0.25869,                0.25017,                0.25372,                0.18232,                 1.9507,                 1.9576,                 1.5402,             0.00051988,             0.00051988,             0.00051988
                    179,                0.85411,                 0.5734,                0.93233,                 0.2375,                0.28419,                0.26582,                0.18497,                 1.9167,                 1.9085,                 1.4934,             0.00051575,             0.00051575,             0.00051575
                    180,                0.93363,                0.60158,                0.92893,                0.26133,                0.29837,                0.26909,                0.19292,                 1.9141,                 1.9397,                 1.4825,             0.00051163,             0.00051163,             0.00051163
                    181,                0.87213,                0.57464,                0.93865,                0.29562,                0.32293,                 0.2836,                0.19478,                 1.8961,                 1.9062,                 1.4761,              0.0005075,              0.0005075,              0.0005075
                    182,                0.93349,                0.59356,                0.93719,                0.27307,                0.30294,                  0.274,                 0.1885,                 1.8743,                 1.9035,                 1.4703,             0.00050337,             0.00050337,             0.00050337
                    183,                0.91907,                0.59808,                0.92397,                0.27422,                0.29952,                0.27537,                0.19202,                 1.7812,                 1.9392,                  1.302,             0.00049925,             0.00049925,             0.00049925
                    184,                 0.9064,                0.59025,                0.93162,                0.30458,                0.30087,                0.27894,                0.19506,                 1.7624,                 1.9833,                 1.2869,             0.00049513,             0.00049513,             0.00049513
                    185,                0.88072,                0.57861,                0.93903,                0.29604,                0.29179,                0.26464,                0.19127,                 1.8412,                 2.0276,                 1.3702,               0.000491,               0.000491,               0.000491
                    186,                0.84842,                0.54996,                0.93425,                0.30001,                0.27364,                0.26051,                0.19203,                 1.8721,                 2.0104,                 1.4561,             0.00048687,             0.00048687,             0.00048687
                    187,                0.89768,                0.57963,                0.92181,                0.38709,                0.24648,                0.25698,                0.18563,                 1.8632,                 2.1016,                 1.4943,             0.00048275,             0.00048275,             0.00048275
                    188,                0.88923,                 0.5662,                0.93482,                0.27141,                0.26712,                0.26409,                0.19359,                 1.8605,                 2.0507,                 1.5317,             0.00047863,             0.00047863,             0.00047863
                    189,                0.87873,                0.56204,                0.93288,                0.25711,                0.27952,                  0.268,                0.18636,                 1.9079,                 1.9803,                 1.5584,              0.0004745,              0.0004745,              0.0004745
                    190,                0.91324,                 0.5904,                0.93035,                  0.239,                0.27026,                0.25533,                0.18148,                 1.9166,                  1.853,                 1.5431,             0.00047038,             0.00047038,             0.00047038
                    191,                 0.8691,                0.55429,                0.93741,                  0.263,                0.29307,                0.27171,                0.18776,                 1.9416,                 1.9721,                 1.5472,             0.00046625,             0.00046625,             0.00046625
                    192,                0.85822,                0.55459,                0.91043,                0.30927,                0.25831,                0.26827,                0.19315,                 1.9214,                 1.9039,                 1.5226,             0.00046212,             0.00046212,             0.00046212
                    193,                0.86228,                0.56409,                0.92989,                0.37012,                 0.2649,                0.26675,                0.19602,                 1.8865,                 1.9611,                 1.4976,               0.000458,               0.000458,               0.000458
                    194,                  0.862,                0.54981,                0.92155,                 0.2781,                0.29535,                 0.2541,                0.18377,                 1.8808,                 1.9527,                 1.4576,             0.00045388,             0.00045388,             0.00045388
                    195,                0.85051,                0.52821,                0.93178,                0.33526,                 0.2885,                0.27614,                0.19708,                 1.8544,                 1.9259,                  1.474,             0.00044975,             0.00044975,             0.00044975
                    196,                0.86717,                0.54141,                0.93046,                0.30519,                0.29609,                 0.2841,                 0.2027,                 1.8905,                 2.0283,                 1.4653,             0.00044563,             0.00044563,             0.00044563
                    197,                0.82538,                0.52941,                 0.9175,                0.29564,                0.28762,                 0.2819,                0.20913,                  1.824,                 1.9346,                 1.4084,              0.0004415,              0.0004415,              0.0004415
                    198,                0.83176,                0.52766,                0.90491,                0.29199,                0.28022,                 0.2679,                0.20426,                 1.8021,                  1.948,                 1.3788,             0.00043738,             0.00043738,             0.00043738
                    199,                0.90114,                0.55979,                0.89696,                0.28164,                0.30697,                0.27717,                0.20066,                  1.845,                 1.9684,                 1.4354,             0.00043325,             0.00043325,             0.00043325
                    200,                0.86844,                0.54315,                0.89771,                0.27037,                0.30276,                0.27629,                0.19675,                 1.8663,                 2.0245,                 1.4564,             0.00042912,             0.00042912,             0.00042912
                    201,                0.83381,                0.52936,                0.91821,                0.29796,                0.28916,                0.27243,                0.19084,                 1.8649,                 1.9855,                  1.487,               0.000425,               0.000425,               0.000425
                    202,                0.83136,                0.52349,                 0.9219,                0.32625,                0.28767,                0.27268,                0.19294,                  1.803,                 1.8755,                 1.3856,             0.00042087,             0.00042087,             0.00042087
                    203,                0.79071,                0.49532,                0.89042,                0.36208,                0.27591,                0.28705,                0.20106,                 1.8148,                  1.876,                 1.3779,             0.00041675,             0.00041675,             0.00041675
                    204,                 0.9081,                0.56254,                0.93746,                0.35174,                0.27934,                0.29143,                0.19924,                 1.8184,                 1.9286,                 1.3764,             0.00041263,             0.00041263,             0.00041263
                    205,                0.83712,                0.52518,                0.92845,                0.35656,                0.29938,                0.29468,                0.20709,                 1.8245,                 1.9421,                 1.3907,              0.0004085,              0.0004085,              0.0004085
                    206,                 0.8572,                0.52992,                0.92681,                0.46051,                0.29114,                0.30404,                0.20316,                 1.8477,                 1.9795,                 1.4083,             0.00040438,             0.00040438,             0.00040438
                    207,                0.86394,                0.53601,                0.89789,                0.46154,                0.26908,                0.28964,                0.18812,                 1.8684,                 1.9688,                 1.4775,             0.00040025,             0.00040025,             0.00040025
                    208,                0.82944,                0.51558,                 0.9102,                 0.3642,                0.26906,                0.28912,                0.19431,                 1.8776,                 1.9323,                 1.4369,             0.00039613,             0.00039613,             0.00039613
                    209,                0.81091,                0.51871,                0.91743,                0.27836,                0.29065,                0.28015,                0.18952,                 1.8337,                 1.9116,                 1.4168,               0.000392,               0.000392,               0.000392
                    210,                0.83211,                0.50663,                0.92667,                0.28556,                0.28272,                0.27346,                0.18932,                 1.8102,                 1.9341,                 1.4425,             0.00038788,             0.00038788,             0.00038788
                    211,                0.87905,                0.53922,                0.90064,                0.34491,                0.28605,                0.27711,                0.18987,                 1.7857,                  1.929,                 1.4667,             0.00038375,             0.00038375,             0.00038375
                    212,                0.83609,                0.52331,                0.92151,                0.30538,                0.27415,                 0.2652,                0.18395,                 1.8207,                 2.0148,                 1.4586,             0.00037962,             0.00037962,             0.00037962
                    213,                0.86911,                0.55349,                0.92312,                 0.3019,                0.26645,                0.26038,                0.18358,                 1.8139,                 2.0072,                 1.4143,              0.0003755,              0.0003755,              0.0003755
                    214,                0.81259,                0.52397,                0.92876,                0.30768,                0.27096,                0.26349,                0.18736,                 1.8205,                 1.9926,                 1.4382,             0.00037138,             0.00037138,             0.00037138
                    215,                0.82662,                 0.5027,                0.89657,                0.32371,                0.27641,                0.27126,                0.19074,                 1.8045,                 2.0309,                 1.4042,             0.00036725,             0.00036725,             0.00036725
                    216,                0.80571,                0.49914,                0.89109,                0.28005,                0.28966,                0.27598,                0.19072,                 1.8091,                 1.9221,                 1.4239,             0.00036313,             0.00036313,             0.00036313
                    217,                0.82968,                0.50723,                0.92123,                0.28988,                0.29179,                0.27417,                0.19536,                 1.8713,                   1.95,                 1.4248,               0.000359,               0.000359,               0.000359
                    218,                0.83036,                0.51675,                0.90423,                0.29474,                 0.2761,                0.27356,                0.19576,                  1.824,                 1.9425,                 1.4421,             0.00035487,             0.00035487,             0.00035487
                    219,                0.87634,                0.52441,                0.91177,                0.30898,                  0.283,                0.27533,                 0.1947,                 1.8604,                 1.9794,                 1.4566,             0.00035075,             0.00035075,             0.00035075
                    220,                0.81261,                0.49414,                 0.8989,                0.88748,                 0.2387,                0.27568,                0.20073,                 1.8446,                 2.0315,                   1.38,             0.00034663,             0.00034663,             0.00034663
                    221,                0.83364,                0.50433,                0.90045,                0.30994,                0.27757,                0.28083,                0.19775,                  1.889,                  1.951,                 1.4381,              0.0003425,              0.0003425,              0.0003425
                    222,                0.83702,                0.51163,                0.92463,                0.29296,                0.26411,                0.27332,                0.19248,                 1.8938,                 1.9593,                 1.4994,             0.00033838,             0.00033838,             0.00033838
                    223,                0.83405,                0.51116,                0.89455,                0.28924,                0.25902,                0.26926,                0.18539,                 1.9246,                 2.0489,                 1.4967,             0.00033425,             0.00033425,             0.00033425
                    224,                0.79002,                0.48401,                0.89714,                 0.3154,                0.27073,                0.26948,                0.18359,                  1.928,                 2.0724,                 1.5515,             0.00033013,             0.00033013,             0.00033013
                    225,                0.77542,                0.50163,                0.90476,                0.38802,                0.26559,                0.27397,                0.18788,                 1.9067,                 2.0194,                 1.4988,               0.000326,               0.000326,               0.000326
                    226,                0.76886,                0.46162,                0.88725,                0.31746,                0.28837,                0.27686,                0.18841,                 1.9001,                 1.9922,                 1.5031,             0.00032188,             0.00032188,             0.00032188
                    227,                0.85326,                0.51419,                 0.8878,                0.43091,                0.24036,                0.26921,                0.19309,                 1.8649,                 1.9844,                 1.4465,             0.00031775,             0.00031775,             0.00031775
                    228,                 0.7823,                0.47324,                0.90482,                0.31322,                0.27045,                0.26593,                0.19308,                 1.8284,                   1.93,                 1.4512,             0.00031362,             0.00031362,             0.00031362
                    229,                0.76347,                0.45432,                0.88991,                 0.2964,                0.25846,                0.26185,                0.18874,                 1.8449,                 1.9495,                 1.4562,              0.0003095,              0.0003095,              0.0003095
                    230,                0.83321,                0.50028,                0.90269,                0.30193,                0.26541,                0.26175,                0.18798,                 1.8642,                  2.011,                 1.5056,             0.00030538,             0.00030538,             0.00030538
                    231,                 0.7707,                0.46482,                0.89817,                 0.3271,                0.29934,                0.27552,                 0.1907,                 1.8975,                  1.958,                 1.5665,             0.00030125,             0.00030125,             0.00030125
                    232,                0.77447,                0.48398,                0.91206,                0.30433,                0.30447,                0.27934,                0.19004,                 1.9049,                 1.9291,                 1.5788,             0.00029713,             0.00029713,             0.00029713
                    233,                0.80931,                0.48387,                0.89186,                0.34064,                0.29934,                0.28438,                0.19258,                 1.8888,                 1.9994,                 1.5511,               0.000293,               0.000293,               0.000293
                    234,                0.79787,                0.47328,                0.89142,                 0.2919,                0.28929,                0.27816,                0.19558,                 1.8361,                 1.9549,                 1.5484,             0.00028888,             0.00028888,             0.00028888
                    235,                0.75428,                0.45307,                0.88575,                0.27858,                0.27415,                0.27497,                0.19297,                 1.8449,                 1.9834,                 1.5231,             0.00028475,             0.00028475,             0.00028475
                    236,                0.81153,                0.49626,                 0.9134,                0.27704,                0.28249,                0.27513,                0.18776,                 1.8611,                  1.949,                 1.5622,             0.00028063,             0.00028063,             0.00028063
                    237,                0.78261,                0.48624,                0.91013,                0.29631,                0.29272,                0.27833,                 0.1925,                 1.8656,                 1.9127,                  1.508,              0.0002765,              0.0002765,              0.0002765
                    238,                0.78546,                0.47051,                0.89347,                0.23376,                0.27262,                0.27441,                0.18849,                 1.8642,                 1.9566,                  1.504,             0.00027237,             0.00027237,             0.00027237
                    239,                0.81713,                0.47169,                0.89306,                0.31687,                0.27017,                0.27862,                0.19436,                 1.8519,                  2.052,                 1.4699,             0.00026825,             0.00026825,             0.00026825
                    240,                0.78569,                0.46164,                 0.8954,                0.30175,                0.27679,                0.27145,                0.19505,                 1.8334,                 1.9868,                 1.4345,             0.00026413,             0.00026413,             0.00026413
                    241,                0.80087,                0.47558,                0.88304,                0.32768,                 0.2842,                0.28051,                0.19679,                 1.8266,                 1.9543,                 1.4516,                0.00026,                0.00026,                0.00026
                    242,                0.75816,                 0.4762,                0.91424,                0.38151,                0.28438,                 0.2815,                0.19909,                  1.808,                 1.9128,                 1.4515,             0.00025587,             0.00025587,             0.00025587
                    243,                0.75888,                0.45337,                 0.8878,                0.29872,                0.27947,                 0.2768,                0.19651,                 1.8087,                 1.9338,                 1.4173,             0.00025175,             0.00025175,             0.00025175
                    244,                0.78945,                0.46246,                0.89123,                0.28274,                0.26753,                0.28216,                0.19639,                 1.8241,                 2.0564,                 1.4149,             0.00024762,             0.00024762,             0.00024762
                    245,                0.77647,                0.46528,                0.89461,                0.27418,                0.27323,                0.28095,                0.19722,                 1.7785,                 2.0055,                 1.3874,              0.0002435,              0.0002435,              0.0002435
                    246,                0.81447,                0.48463,                0.88385,                0.32474,                0.29704,                0.28098,                0.20034,                 1.7783,                 1.9707,                  1.386,             0.00023938,             0.00023938,             0.00023938
                    247,                0.78419,                0.46083,                0.90806,                0.31673,                0.30091,                0.28911,                0.20025,                 1.8003,                 1.9361,                 1.4099,             0.00023525,             0.00023525,             0.00023525
                    248,                0.80308,                0.47575,                0.89245,                0.34367,                  0.306,                0.29857,                 0.2025,                 1.8112,                 1.9346,                 1.4603,             0.00023112,             0.00023112,             0.00023112
                    249,                0.78186,                0.46874,                0.89037,                0.26595,                0.27267,                0.28516,                0.19187,                 1.8471,                 1.9542,                 1.5251,               0.000227,               0.000227,               0.000227
                    250,                0.78294,                0.46427,                0.88483,                0.28849,                0.29119,                0.27962,                0.18541,                 1.8891,                 1.9655,                 1.5494,             0.00022288,             0.00022288,             0.00022288
                    251,                0.76807,                0.45446,                0.88376,                0.28336,                0.28193,                0.26939,                0.19134,                 1.8185,                 1.9408,                 1.4751,             0.00021875,             0.00021875,             0.00021875
                    252,                0.83866,                0.50712,                0.89348,                0.30622,                0.26684,                0.27099,                0.19391,                 1.8403,                 2.0172,                 1.4509,             0.00021462,             0.00021462,             0.00021462
                    253,                0.74068,                0.43476,                0.91181,                0.30162,                0.27605,                0.27918,                0.19096,                 1.8525,                 2.0133,                 1.4297,              0.0002105,              0.0002105,              0.0002105
                    254,                0.75941,                0.44603,                0.88841,                 0.2942,                0.29614,                0.27772,                0.19321,                 1.8442,                 1.9814,                 1.3782,             0.00020637,             0.00020637,             0.00020637
                    255,                0.78919,                 0.4607,                0.91477,                0.30708,                0.29272,                0.27707,                0.19422,                 1.8545,                 2.0639,                 1.3845,             0.00020225,             0.00020225,             0.00020225
                    256,                0.76273,                0.45711,                0.90042,                0.26995,                0.27438,                0.27232,                0.19281,                 1.8583,                 2.0528,                 1.4325,             0.00019813,             0.00019813,             0.00019813
                    257,                0.74998,                0.44359,                0.88486,                0.32021,                0.27434,                0.27558,                0.19631,                 1.8557,                 2.0284,                 1.4392,               0.000194,               0.000194,               0.000194
                    258,                0.78577,                0.45903,                 0.8833,                0.29426,                0.26925,                0.27323,                0.19508,                 1.8135,                 2.0863,                 1.4317,             0.00018987,             0.00018987,             0.00018987
                    259,                 0.7882,                0.44508,                0.90324,                0.30615,                 0.2734,                 0.2758,                 0.1962,                 1.7928,                 2.0961,                 1.4524,             0.00018575,             0.00018575,             0.00018575
                    260,                0.77952,                0.45783,                0.87845,                0.29221,                0.27262,                0.27707,                0.19553,                  1.823,                 2.0762,                 1.4471,             0.00018163,             0.00018163,             0.00018163
                    261,                0.79366,                0.44955,                0.89048,                 0.2986,                0.27943,                0.28356,                 0.1978,                 1.8178,                 2.0127,                 1.4406,              0.0001775,              0.0001775,              0.0001775
                    262,                0.73077,                 0.4386,                0.87009,                0.27147,                 0.2804,                0.27505,                0.19574,                 1.8283,                 2.0393,                 1.4479,             0.00017338,             0.00017338,             0.00017338
                    263,                0.80056,                0.46755,                0.89057,                0.28684,                0.28114,                0.27687,                0.19679,                 1.8048,                 2.0629,                 1.4355,             0.00016925,             0.00016925,             0.00016925
                    264,                0.70781,                0.42112,                0.89586,                0.30259,                0.28114,                 0.2772,                0.19904,                 1.7862,                 2.0309,                 1.4129,             0.00016512,             0.00016512,             0.00016512
                    265,                0.75011,                 0.4326,                0.85879,                0.31961,                0.28947,                0.27858,                0.19923,                 1.7666,                  1.932,                  1.411,               0.000161,               0.000161,               0.000161
                    266,                0.77882,                0.45328,                0.88841,                0.31409,                0.28785,                0.28245,                0.20352,                 1.7877,                 1.9494,                 1.4071,             0.00015688,             0.00015688,             0.00015688
                    267,                0.71973,                0.41948,                0.87366,                0.33285,                0.28381,                0.28108,                0.20178,                 1.8216,                 1.9736,                 1.4741,             0.00015275,             0.00015275,             0.00015275
                    268,                0.69521,                0.41114,                0.88699,                0.31698,                0.27792,                0.28372,                0.20465,                 1.8043,                 1.9852,                 1.4717,             0.00014862,             0.00014862,             0.00014862
                    269,                0.71462,                0.41761,                 0.8685,                0.31196,                0.27947,                0.28151,                 0.1997,                 1.8092,                 2.0636,                 1.4647,              0.0001445,              0.0001445,              0.0001445
                    270,                0.72351,                0.42546,                0.87075,                0.43555,                0.25967,                0.28227,                0.20032,                 1.8122,                 2.1307,                 1.4657,             0.00014038,             0.00014038,             0.00014038
                    271,                0.72942,                0.43503,                0.88829,                 0.2962,                0.27978,                0.27791,                0.19572,                  1.818,                 2.0747,                 1.4654,             0.00013625,             0.00013625,             0.00013625
                    272,                 0.7496,                0.43394,                0.87633,                 0.2762,                0.27332,                 0.2768,                0.19598,                 1.8431,                 2.0151,                 1.4864,             0.00013212,             0.00013212,             0.00013212
                    273,                0.71514,                0.41957,                0.87656,                0.25818,                0.26688,                0.27783,                0.19188,                 1.8881,                 2.0568,                 1.5024,               0.000128,               0.000128,               0.000128
                    274,                0.69682,                0.39583,                0.88176,                0.25221,                0.25846,                0.26717,                0.18824,                 1.8932,                 2.0242,                 1.5525,             0.00012387,             0.00012387,             0.00012387
                    275,                0.77244,                0.44611,                0.84498,                0.27516,                0.27345,                0.27796,                0.19034,                 1.8655,                 1.9751,                 1.5508,             0.00011975,             0.00011975,             0.00011975
                    276,                0.79094,                0.45297,                0.88094,                0.28239,                0.27262,                0.28062,                0.19616,                   1.86,                 1.9778,                 1.5386,             0.00011563,             0.00011563,             0.00011563
                    277,                0.75874,                0.43355,                0.88859,                0.28291,                0.27096,                0.27834,                0.19587,                 1.8532,                 1.9662,                 1.5468,              0.0001115,              0.0001115,              0.0001115
                    278,                0.75661,                0.43027,                0.86953,                0.56534,                0.25068,                0.28423,                0.19888,                 1.8444,                 1.9675,                   1.53,             0.00010737,             0.00010737,             0.00010737
                    279,                0.78354,                0.44291,                0.87829,                0.29559,                0.27605,                 0.2829,                 0.2007,                 1.8134,                 1.9679,                 1.5218,             0.00010325,             0.00010325,             0.00010325
                    280,                0.72891,                0.42036,                 0.8535,                0.29773,                 0.2692,                0.27777,                0.19938,                 1.7955,                 1.9644,                 1.5152,             9.9125e-05,             9.9125e-05,             9.9125e-05
                    281,                 0.6994,                0.40462,                0.87037,                0.38194,                 0.2692,                0.27781,                0.19697,                 1.8149,                 1.9945,                  1.511,                9.5e-05,                9.5e-05,                9.5e-05
                    282,                0.70783,                0.41657,                0.86905,                0.35572,                0.26586,                0.27947,                0.19508,                 1.8269,                 2.0396,                 1.5094,             9.0875e-05,             9.0875e-05,             9.0875e-05
                    283,                0.76933,                0.44565,                0.87355,                0.36627,                0.26582,                0.28362,                0.19673,                 1.8094,                 2.0523,                 1.5043,              8.675e-05,              8.675e-05,              8.675e-05
                    284,                0.74621,                0.42936,                0.86465,                0.39225,                0.26582,                0.27805,                0.19721,                 1.8084,                 2.0291,                 1.5238,             8.2625e-05,             8.2625e-05,             8.2625e-05
                    285,                0.66718,                0.38974,                0.85796,                0.39994,                0.26582,                0.27762,                0.19764,                 1.8199,                 2.0166,                 1.5523,               7.85e-05,               7.85e-05,               7.85e-05
                    286,                0.65631,                0.38704,                 0.8659,                0.38317,                 0.2692,                0.27923,                0.19611,                 1.8263,                 1.9941,                 1.5738,             7.4375e-05,             7.4375e-05,             7.4375e-05
                    287,                0.75282,                0.40759,                0.83968,                0.37949,                0.26582,                0.27932,                0.19523,                 1.8274,                 1.9958,                 1.5427,              7.025e-05,              7.025e-05,              7.025e-05
                    288,                0.72889,                0.42674,                0.88673,                0.40189,                0.26244,                0.28332,                0.19637,                 1.8264,                 2.0179,                 1.5412,             6.6125e-05,             6.6125e-05,             6.6125e-05
                    289,                0.69265,                0.40015,                0.84801,                0.41127,                 0.2692,                0.28458,                0.19844,                 1.8423,                 1.9979,                 1.5409,                6.2e-05,                6.2e-05,                6.2e-05
                    290,                0.72873,                0.41514,                0.87103,                0.29162,                0.27434,                0.28059,                0.19793,                 1.8442,                 1.9921,                 1.5336,             5.7875e-05,             5.7875e-05,             5.7875e-05
                    291,                0.82716,                0.45026,                0.76156,                0.32872,                0.28609,                 0.2864,                0.19359,                  1.891,                 1.9604,                   1.57,              5.375e-05,              5.375e-05,              5.375e-05
                    292,                0.85925,                 0.4633,                0.76256,                0.32212,                 0.2836,                0.28457,                0.19548,                 1.9139,                 1.9593,                 1.5999,             4.9625e-05,             4.9625e-05,             4.9625e-05
                    293,                0.79726,                0.42254,                0.76191,                0.34926,                0.26416,                0.28435,                0.19543,                 1.8826,                 1.9943,                 1.5937,               4.55e-05,               4.55e-05,               4.55e-05
                    294,                0.87047,                0.45273,                0.76567,                0.37893,                0.26416,                0.28413,                0.19873,                 1.8591,                 2.0112,                 1.5761,             4.1375e-05,             4.1375e-05,             4.1375e-05
                    295,                 0.8726,                0.45548,                0.76886,                0.38284,                0.26587,                0.28682,                0.19793,                  1.841,                 1.9788,                 1.5648,              3.725e-05,              3.725e-05,              3.725e-05
                    296,                 0.8243,                0.43159,                0.75781,                0.35197,                0.26925,                0.28459,                0.19696,                 1.8561,                  1.958,                 1.5793,             3.3125e-05,             3.3125e-05,             3.3125e-05
                    297,                0.81697,                0.44044,                0.76768,                0.32626,                0.27733,                0.28274,                0.19671,                 1.8646,                 1.9662,                 1.5752,                2.9e-05,                2.9e-05,                2.9e-05
                    298,                0.81321,                 0.4286,                 0.7718,                0.33466,                0.27262,                 0.2816,                0.19719,                 1.8232,                 1.9428,                  1.555,             2.4875e-05,             2.4875e-05,             2.4875e-05
                    299,                0.87134,                0.43877,                0.75744,                0.32127,                0.27434,                0.28792,                0.20064,                 1.8029,                 1.9861,                 1.5236,              2.075e-05,              2.075e-05,              2.075e-05
                    300,                0.82776,                0.44782,                0.77393,                0.35599,                0.28422,                0.28867,                0.20148,                 1.8297,                 1.9768,                 1.5252,             1.6625e-05,             1.6625e-05,             1.6625e-05
